,turker,additionalThoughts,considr_othrExp,disappoint_othr,fairness,be_friend,generalExpermnt,generalStrategy,generalWilson,greedy,inv10x2exp,inv10x2ret,inv10x4exp,inv10x4ret,inv10x6exp,inv10x6ret,inv1x2exp,inv1x2ret,inv1x4exp,inv1x4ret,inv1x6exp,inv1x6ret,inv5x2exp,inv5x2ret,inv5x4exp,inv5x4ret,inv5x6exp,inv5x6ret,know_p2,liking,like_mostOthrs,self_dependable,self_disappoint_othr,self_fairness,self_greedy,self_trustwrthy,similarity,trust,turk_gender,turk_race,turker_age,wouldInvestInputId,p2,p3,p2_strat,mean_error
93,A1YSYI926BBOHW:3JWH6J9I9T70IV78RY1PE9AEOISBNZ,fun task,8.0,89.0,3.0,1.0,it was easy to get a range down for how wilson would ask. if you had good memory you could have it all perfected by round 20,"history, amount of money invested","he's very greedy, very himan like",100.0,40.0,0.0,40.0,0.0,40.0,0,4.0,0.0,4.0,0.0,4.0,0.0,20.0,0,20.0,0.0,20.0,0,66.0,25.0,88.0,66.0,54.0,70.0,86.0,42.0,65.0,1.0,,,,0.0,34.0,116.0,IA,8.28309198923234
94,A1ZRK6K5JUPJAV:3GGAI1SQEWSDAIEETXIKCERW4FSMCY,none,2.0,99.0,1.0,17.0,No issues.  It was interesting.  Not hard to predict behavior after a short time.  I liked that the tast ran smoothly with no issues.  I found it odd that people kept giving him money and expecting some back when he never gave any back to anyone.,Wilson never gave money back to anyone.  It was easy to know that Wilson would not give anything to anyone by the end.,Wilson is not trustworthy and I have no idea why anyone would continue to give him money.,100.0,40.0,20.0,40.0,40.0,40.0,40,4.0,4.0,4.0,4.0,4.0,4.0,20.0,10,20.0,20.0,20.0,20,69.0,11.0,30.0,92.0,,90.0,,86.0,15.0,1.0,male,White,44.0,0.0,91.0,117.0,GR,4.707602339181286
95,A1ZTSCPETU3UJW:32RIADZISTYDD9E4KF8O5PEE57W4SF,This was fun and interesting.,44.0,74.0,21.0,7.0,"I was very engaged, it was very difficult to predict and did not seem to have a pattern to it.  There was nothing I didn't like about the task.  I did not find anything odd.",I figured he he return double the amount put in  the bag at the most.,He is a very greedy person.,89.0,40.0,10.0,40.0,20.0,40.0,30,4.0,1.0,4.0,2.0,4.0,3.0,20.0,5,20.0,10.0,20.0,15,13.0,23.0,82.0,85.0,,55.0,,16.0,79.0,13.0,male,White,35.0,1.0,81.0,118.0,GA,13.537315510999724
96,A204JAK7QRDWVM:3WT783CTPCBHRRAH28SBYYG2TT0CB2,,1.0,88.0,1.0,1.0,"It was tough to decide what Wilson would have given back, since he kept more than I expected most of the time.",I tried to remember what Wilson gave in previous situations.,He kept a surprisingly large amount of the money he could have shared.,89.0,40.0,12.0,40.0,18.0,40.0,18,4.0,1.0,4.0,2.0,4.0,2.0,20.0,6,20.0,6.0,20.0,10,1.0,5.0,22.0,85.0,,74.0,,60.0,21.0,1.0,male,White,26.0,10.0,6.0,119.0,IA,12.58203378817414
97,A205CDFBTD05Q4:3IX2EGZR7CDRFCXC8XVNLHY10NHRJO,Nope,6.0,79.0,13.0,24.0,It's easy to predict Wilson's behavior because no one knows what is the return on the magic bag except Wilson himself. So likely he will give nothing back.,"I try some games when giving back some money but then Wilson give nothing back. Therefore, I believe throughout the games, he will give nothing to the people who invested. ",Very greedy and don't care about other's investment. ,100.0,40.0,0.0,40.0,10.0,40.0,10,2.0,0.0,4.0,0.0,2.0,0.0,10.0,0,20.0,0.0,20.0,5,28.0,28.0,95.0,59.0,,65.0,,69.0,79.0,14.0,female,asian_asn_amer,24.0,0.0,83.0,120.0,GR,3.0458089668615984
98,A20HITED8LB7O5:3JNQLM5FT5GG6I4RWSSZ0O3LTA82L5,,50.0,82.0,50.0,78.0,Yes it was hard to predict his behavior,How much he received back,Slighty greedy,65.0,10.0,5.0,20.0,10.0,30.0,25,1.0,1.0,2.0,1.0,3.0,2.0,5.0,2,10.0,5.0,15.0,10,13.0,50.0,100.0,100.0,,46.0,,100.0,100.0,10.0,female,Black,33.0,5.0,75.0,121.0,GA,13.5602315975123
99,A20SL254675EOK:3FTYUGLFSVFP73ZM1UW9FIYS4NJD5B,None that I can think of really.,14.0,71.0,17.0,13.0,I found it fun and simple.,He gave about a third back every time.,He should have given more.,84.0,20.0,10.0,20.0,20.0,20.0,30,2.0,1.0,2.0,2.0,2.0,3.0,10.0,5,10.0,10.0,10.0,15,15.0,25.0,64.0,97.0,,91.0,,84.0,25.0,5.0,male,White,25.0,0.0,47.0,122.0,IA,10.098742225935208
100,A20SXG1DHDIDI7:3TS1AR6UQR81SRR1GT6W12F963PF7R,none,1.0,100.0,1.0,1.0,I was focused on the task at hand.  At first it was very difficult since I didn't really have any information on which to base a choice then it became very easy given his prior actions.  I enjoyed the task though it did get repetitive by the end.  I found it odd that people kept giving him money when he obviously had no intention of sharing any.,After the first few rounds I didn't really need a strategy since his behavior was quite predictable.  I considered his past actions.,He's a greedy prick,100.0,10.0,15.0,20.0,20.0,25.0,30,2.0,1.0,2.0,2.0,3.0,3.0,7.0,7,10.0,10.0,10.0,15,100.0,1.0,9.0,79.0,,94.0,,86.0,1.0,1.0,female,White,45.0,0.0,91.0,123.0,GR,2.017543859649123
101,A21C3WNJNCEA58:3IFS6Q0HJJD7LGDJ54ASZQOX99CISQ,"very interesting, thanks",1.0,97.0,14.0,1.0,"it was interesting and different than usual tasks. at first it was hard to predict Wilson, because he was waaay lower than expected, but after a moment it was easy to predict",I considered an specific point in the bar,greedy and untrustful ,94.0,40.0,20.0,40.0,40.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,20.0,10,20.0,20.0,20.0,20,1.0,1.0,75.0,99.0,,100.0,,88.0,24.0,1.0,female,White,24.0,10.0,72.0,125.0,GR,10.081395618676321
102,A21SIPO89DP66I:37UEWGM5HU2KKVH8I8PHHH2F66Y1RB,none,1.0,100.0,7.0,9.0,I was fully engaged.  the behavior cannot be predicted because there was no pattern.,"I tried to figure out what he was doing, and I eventually found out that it was completely random","He keeps money half the time, and half the time there is a random element to determine if he returns anything",100.0,40.0,16.0,40.0,32.0,40.0,48,4.0,1.0,4.0,3.0,4.0,5.0,20.0,8,20.0,16.0,20.0,25,45.0,11.0,62.0,73.0,,67.0,,64.0,18.0,1.0,male,White,37.0,0.0,34.0,126.0,IA,11.033196416968346
103,A21UA6O7ZFAIQJ:3V5Q80FXIYLZQEE2QMOZ4294PPV324,I actually got a bit bored about halfway in and became unfocused.  The format was just a bit too childish; like it was meant to teach kids things.,65.0,56.0,39.0,41.0,I didn't like the format with clicking 5-6 times between each task.  After the 6-7 trial I could have just told you the way he chooses to return money.,he always returns double whatever he's given,slightly scumbag-ish,66.0,20.0,20.0,20.0,20.0,30.0,30,2.0,2.0,2.0,2.0,30.0,30.0,10.0,10,10.0,10.0,15.0,15,65.0,42.0,70.0,64.0,32.0,93.0,23.0,56.0,28.0,36.0,,,,10.0,56.0,127.0,GA,2.719298245614035
104,A21ZMR7O42OSMI:3T111IHZ5FK290K3ML4AWNKY5VWR9B,,67.0,15.0,91.0,100.0,"I was very engaged, and find Wilson's behavior hard to predict at time. I thought the task was fun. I didn't find anything odd. ",I considered the starting amount. ,I though Wilson was generous in most cases. ,12.0,40.0,11.0,40.0,35.0,40.0,40,4.0,2.0,4.0,3.0,4.0,4.0,20.0,5,20.0,15.0,20.0,20,85.0,92.0,63.0,90.0,,93.0,,90.0,76.0,91.0,female,White,37.0,10.0,100.0,128.0,GA,14.284205885083077
105,A22955PPOJ264W:3YOH7BII0A1EJ3KBZ209NTNH08MKVH,,1.0,100.0,1.0,5.0,"I was very engaged, I got pretty good at predicting but mostly went on gut instinct. ",I noticed that he would not give anything back with low amounts. He would give more to certain people to. ,I could not understand his behavior. If he wanted to profit there were better ways across the board.,91.0,20.0,10.0,20.0,16.0,30.0,20,2.0,1.0,4.0,2.0,6.0,2.0,20.0,10,10.0,10.0,20.0,20,90.0,8.0,11.0,78.0,,97.0,,96.0,22.0,1.0,male,White,26.0,1.0,54.0,130.0,MO,11.189663974751694
106,A22IQZRDAMSNDE:3I02618YA10FHFSR74VCNO7XHWLPU7,,57.0,100.0,1.0,1.0,"I was very engaged.  It was easy to predict he wouldn't do the right thing, but I couldn't quite get the numbers.  They weren't consistent.",He would give around a third back or none at all if the total was too low.,He's greedy and underhanded.,100.0,40.0,10.0,40.0,20.0,40.0,25,1.0,1.0,4.0,2.0,4.0,2.0,20.0,5,20.0,10.0,20.0,15,1.0,4.0,86.0,100.0,,100.0,,100.0,35.0,1.0,female,White,35.0,0.0,6.0,131.0,IA,12.583542188805346
107,A235DXY5FJN0IW:3R0T90IZ1T6DI8ISIUKPZ97Z81NCG3,,74.0,90.0,25.0,24.0,I was very involved and tried to pick up o anything that could help me predict. It was very hard to predict.,How much they donated vs how much came out of the bag. I did a lower amount each time.,he is a scammer,87.0,20.0,5.0,20.0,20.0,20.0,20,2.0,1.0,2.0,1.0,2.0,2.0,10.0,5,10.0,10.0,10.0,10,71.0,20.0,77.0,79.0,,73.0,,75.0,31.0,21.0,female,White,,2.0,4.0,132.0,IA,15.513726445743991
108,A23EWFNNOUS10B:3P59JYT76ME4PVCW51UQMFD2NNTT2Y,,17.0,10.0,93.0,92.0,I was very engaged and had a decent strategy. I liked the fast pace of the activity.,He would typically give back 1/3 of the result,Nice,11.0,10.0,0.0,10.0,0.0,10.0,0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0,5.0,0.0,5.0,0,60.0,96.0,68.0,93.0,,91.0,,89.0,4.0,97.0,male,White,32.0,10.0,75.0,133.0,GA,15.03817413905133
109,A23Q59BPTL9BIG:3NJM2BJS4X0JVLBRLDACTILR96TPCV,,62.0,10.0,4.0,20.0,I was engaged with the task but getting frustrated that I couldn't figure out what he was doing. ,What I would do in the situation and how trusting I feel people are.,He is greedy. ,11.0,40.0,20.0,40.0,20.0,40.0,20,4.0,0.0,4.0,0.0,4.0,0.0,20.0,10,20.0,10.0,20.0,10,73.0,67.0,14.0,79.0,,84.0,,77.0,74.0,5.0,female,White,33.0,6.0,32.0,134.0,MO,23.109857978279027
110,A24AMUTP80VAVO:3X73LLYYQ28A98AURQBL0KDCJVDHN1,none,61.0,61.0,55.0,73.0,its very interesting and fun study,it will get from his friend and return their money,it wll give money for his friend and bought him,70.0,,,,,,,,,,,,,,,,,,,65.0,67.0,65.0,68.0,60.0,67.0,59.0,65.0,68.0,63.0,,,,6.0,100.0,136.0,GA,18.383574677434325
111,A2539PUSDD137T:3Z4AIRP3C774HR3KR7V96ZO3816X1J,Nothing I can think of.,35.0,31.0,69.0,84.0,It was fun,I was trying to look for trends,A little unpredictable expect for the lower amounts.,41.0,10.0,10.0,15.0,15.0,20.0,25,11.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,10,35.0,71.0,82.0,55.0,,87.0,,77.0,77.0,67.0,male,White,35.0,10.0,100.0,137.0,GA,17.49245799684396
112,A2541C8MY0BYV3:3OLQQLKKNTJ268S7MRBNMAZIIRLJEG,None.,15.0,83.0,7.0,16.0,I was very engaged. It was pretty hard because i felt like it was random.,I just made guesses based on the first few trials.,I think that Wilson is someone greedy.,82.0,10.0,10.0,20.0,20.0,30.0,30,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,15,10.0,15.0,10.0,89.0,2.0,93.0,1.0,85.0,38.0,19.0,,,,0.0,41.0,138.0,MO,14.490682725331848
113,A25CFVQND4A0EV:340UGXU9DZVSMZPNTG4BTGWF2MPUV3,,67.0,20.0,96.0,78.0,It was interesting. I got the hang of predicting it after half way. The task was engaging. I didn't find anything odd.,I looked at his past behavior and saw patterns.,"Seems really generous. If you have such a power, sharing it at all is very kind.",27.0,15.0,15.0,20.0,20.0,20.0,20,2.0,2.0,2.0,2.0,3.0,3.0,7.0,7,10.0,10.0,15.0,15,50.0,71.0,92.0,80.0,,78.0,,63.0,84.0,60.0,male,White,23.0,1.0,93.0,139.0,GA,12.817576348278104
114,A25R2OI9L2Q1OW:3QL2OFSM97CJS0ZE5YXKPTGW952CNO,"While I say it on pretty much every task, I really do mean ""thanks"" this time.  It was a great project.",1.0,100.0,1.0,1.0,"I thought it was one of the most fun tasks I have done on mturk.  I think 56 rotations was a little much to make a point, but it was still fun.","When he returned zero for the first roll, I assumed that would be the trend.   I did actually think, after that initial return of zero, that he might show some partiality to either males or females, but stuck with my initial feeling that he wouldn't give anyone any money and that Wilson was basically a con artist.",He's a scammer or a con artist.,100.0,40.0,40.0,40.0,40.0,40.0,40,4.0,4.0,4.0,4.0,4.0,4.0,20.0,20,20.0,20.0,20.0,20,1.0,1.0,49.0,76.0,,56.0,,39.0,1.0,1.0,male,White,44.0,0.0,91.0,140.0,GR,1.1695906432748537
115,A260V12ZXROJKR:3PZDLQMM0UFN3EALJFZ0X5DYY1JC2N,none,62.0,77.0,62.0,81.0,i like the wilson,i use the mathematician technique ,he is a gambler,69.0,25.0,4.0,40.0,20.0,62.0,2,8.0,1.0,8.0,2.0,10.0,4.0,12.0,2,29.0,5.0,38.0,4,42.0,70.0,40.0,77.0,,66.0,,62.0,78.0,60.0,female,White,27.0,7.0,54.0,141.0,MO,40.40976283300844
116,A26I76BUCO0LAO:39PAAFCODNUDMMAYTBE1OKADGSTTVN,Nope,41.0,67.0,28.0,38.0,"I found the task fairly interesting, and it kept me focused on the results, but I sometimes found it hard to predict exactly how much Wilson would pay back.","It seemed like Wilson had tiers of paying money back. If he made less than $10, he returned no money. Anything under $20 he paid back 1/4 or less of his profit. Anything between $20 and $30 he paid back about 1/4. Between $30 and $40 he paid back about 1/3. Anything over $40 and he paid 50% of his profits back.","He is pretty greedy, but when he turns enough of a profit, he becomes more fair.",76.0,20.0,10.0,20.0,20.0,20.0,30,2.0,1.0,2.0,2.0,2.0,2.0,10.0,5,10.0,8.0,10.0,15,1.0,25.0,42.0,100.0,6.0,98.0,12.0,94.0,37.0,18.0,,,,0.0,34.0,142.0,IA,6.013529193353754
117,A26UIS59SY4NM6:3IAEQB9FMFEJKME6XVJI5IB5NHWDWU,Thanks!,87.0,63.0,24.0,28.0,It was fairly easy. He seemed to use the same formula.,Ten percent of total after it went in bag.,Greedy.,92.0,5.0,10.0,10.0,10.0,10.0,15,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5,5.0,5.0,10.0,10,23.0,22.0,19.0,74.0,,85.0,,64.0,18.0,29.0,male,White,47.0,10.0,72.0,143.0,GR,8.296609579504315
118,A272X64FOZFYLB:30IQTZXKAL04A2I2VOR9SU5T1HJX0D,None,1.0,100.0,1.0,1.0,"It wasn't very engaging to be honest due to the repetitive nature of the task. It was sort of hard to predict his behavior, but in general it seemed like he didn't give back any money the majority of the time. I didn't like the repetitive nature of it, but I did like the generous compensation. I didn't find anything odd really.","After a while I noticed he seemed to not give back any money, so I usually just guessed he would return $0, but sometimes when it was multiplied by 6 he would return the original investment, so I chose that amount sometimes.",He's very greedy and not a very fair person.,100.0,20.0,10.0,20.0,20.0,20.0,30,2.0,1.0,2.0,2.0,2.0,3.0,10.0,5,10.0,10.0,10.0,15,17.0,9.0,6.0,92.0,,100.0,,88.0,3.0,1.0,male,White,24.0,0.0,62.0,144.0,GR,7.2176970203285995
119,A273EH17NSJRH0:339ANSOTR6W9XX0B0V1Q84XNTVCKIL,Nope,23.0,23.0,11.0,19.0,"i was very engaged, it was pretty hard to predict his behavior, i did enjoy predicting and seeing the outcome. I didn't find anything odd about the task",usually he would take more than half,he seemed greedy,83.0,40.0,30.0,80.0,65.0,120.0,90,4.0,3.0,8.0,5.0,12.0,8.0,20.0,15,40.0,30.0,60.0,45,12.0,22.0,13.0,72.0,,78.0,,70.0,34.0,14.0,female,White,27.0,4.0,81.0,145.0,GA,16.325536062378166
120,A27JOAEPKH5PJF:3RKNTXVS3NS9DDSA3FMXKPK8H8RA43,"very interesting , at the begining It took me a few turns to start really distrusting wilson . I guess I would have been taken advantage of as well , I am too trusting of people I dont know.",7.0,100.0,1.0,1.0,"Wilson seemed to act in a random fashion , I tried to find a patern but the only strategy that worked at all was to assume wilson will allways keep more for himself .","amount of multiplier over the expected 4x , gender of person , amount gained from multiplier .","He seems pretty brazen and greedy , he is not worried about others finding out about his scheme .",100.0,20.0,10.0,40.0,20.0,40.0,40,4.0,1.0,4.0,2.0,4.0,3.0,20.0,5,20.0,5.0,20.0,20,94.0,1.0,11.0,100.0,,100.0,,93.0,19.0,1.0,male,White,36.0,5.0,62.0,146.0,GR,12.432121971595656
121,A27SMEOPKV84VI:3JJVG1YBECRWS612NY53KSAS0B9B5L,none,70.0,30.0,80.0,84.0,I was very engaged in the task as I wanted to do my best for the bonus amount.  I didn't find anything odd.,I realized in most cases he would return double if the amount was more than doubled so those cases were easy.  I then tried to remember by trial and error on the amounts I would see.,He seems like he is being fair to most people while trying to earn a living himself.,44.0,40.0,15.0,40.0,35.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,20.0,8,20.0,15.0,20.0,20,60.0,81.0,90.0,67.0,,81.0,,59.0,81.0,71.0,female,White,36.0,10.0,93.0,147.0,GA,4.767938364429594
122,A2866TYG0D96LM:37Q970SNZF2WLAHLXXPM7R7BS8H1SZ,Thank you.,18.0,81.0,19.0,88.0,"I had a good experience with this task and was very engaged. It was hard to predict his behavior at first but after awhile I saw some patterns. I liked pretty much everything about the task, it was very unique and fun.",I tried to find patterns in the amounts he returned compared to the investment and multiplier.,I think he's a little shady because he took people's money a few times and returned $0 on the smaller investments.,90.0,40.0,10.0,40.0,20.0,40.0,30,4.0,1.0,4.0,2.0,4.0,2.0,20.0,5,20.0,10.0,20.0,10,37.0,69.0,85.0,82.0,,93.0,,89.0,22.0,12.0,male,White,29.0,10.0,34.0,148.0,IA,9.954864011881554
123,A289D98Z4GAZ28:3QAPZX2QN5739MF57Z6G24BXPYK02O,no other comments.,16.0,81.0,27.0,45.0,I was engaged. It was hard to predict Wilson. The task was long.,I considered whether the money was at least quadrupled. Then he would give away half.,Wilson is greedy.,81.0,40.0,20.0,40.0,40.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,20.0,10,20.0,20.0,20.0,20,16.0,36.0,63.0,62.0,,64.0,,60.0,15.0,13.0,male,White,49.0,1.0,93.0,149.0,GA,5.022974101921471
124,A28D8M7XIZM2O2:35BLDD71I7R98YJXZ33JA8BU4R7VZ6,No,1.0,100.0,1.0,1.0,I was very engaged. It was not hard to predict. I thought it was fun but had too many continue buttons. I found odd that he never gave anything back but people kept giving him money.,The first couple times I trusted that he would give back at least some. Then I realized he wasn't ever giving any back so it was always 0.,He is greedy and unfair and does not care about others.,100.0,40.0,20.0,40.0,40.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,20.0,10,20.0,20.0,20.0,20,2.0,1.0,1.0,100.0,,88.0,,100.0,13.0,1.0,female,White,28.0,0.0,83.0,150.0,GR,2.192982456140351
125,A28FMRMS9TMEOZ:34V1S5K3GTV9NHMJUX1CLST282T96T,No comments.,37.0,34.0,61.0,62.0,It was extremely hard to predict Wilson behavior. I couldn't find patterns. I find the task a little repetitive.,I just went with gut feeling,He seems okay.,32.0,40.0,20.0,160.0,80.0,380.0,240,4.0,2.0,16.0,8.0,36.0,16.0,20.0,10,80.0,40.0,180.0,90,65.0,55.0,37.0,68.0,,64.0,,60.0,61.0,64.0,male,White,25.0,4.0,4.0,151.0,IA,14.113814629165507
126,A28JANGJRFGGAZ:3SKRO2GZ72LYXR4DSOGKG5G1CCJK1D,,72.0,14.0,67.0,76.0,It got easier as it went on. I enjoyed trying to guess and got mad at myself when off.,I thought that people thought the money would double so Wilson would give a fair cut of 50% profit bit as the game went on on you could tell he gave less.,shrewd business man.,50.0,20.0,15.0,20.0,20.0,20.0,20,2.0,2.0,2.0,2.0,2.0,2.0,10.0,8,10.0,10.0,10.0,10,70.0,83.0,50.0,65.0,,56.0,,34.0,99.0,30.0,male,White,39.0,10.0,65.0,152.0,MO,9.48621553884712
127,A29WHPBW1R07CT:39RP059MEINU0DM8FXMP1ULEME5MB8,No. ,84.0,98.0,2.0,1.0,"I was paying full attention. It was very hard to predict his behavior because it didn't seem to have a pattern. I liked the task, it was really fun! Nothing was odd.","I didn't have one. I just tried to determine what he would do, I just knew it would be less than he should give.",He's greedy and not fair.,100.0,40.0,20.0,40.0,40.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,40.0,10,20.0,20.0,20.0,20,24.0,2.0,16.0,99.0,,98.0,,93.0,1.0,3.0,female,White,30.0,0.0,32.0,154.0,MO,25.7920263622018
128,A2A0OM91DMWOBD:3V5Q80FXIYLZQEE2QMOZ4294SYT23M,,73.0,77.0,74.0,78.0,,,,78.0,10.0,5.0,10.0,4.0,10.0,6,0.0,0.0,1.0,0.0,1.0,0.0,5.0,2,5.0,4.0,5.0,10,75.0,74.0,81.0,74.0,,70.0,,69.0,85.0,87.0,male,White,31.0,10.0,97.0,155.0,IA,14.166956743711129
129,A2AAFWAAS9C1QC:34MAJL3QP5H9TSTPU07NXH62DSS43K,No. Good luck with your research.,46.0,78.0,45.0,82.0,I was very engaged. It was very hard to predict his behavior. I didn't dislike anything about the task. I thought it was fun.,That Wilson was out to make a profit for himself as well as occasionally trying to help others. I mostly always estimated under the expected amount he thought they were expecting to get back.,"I think he's lucky to have a magic bag, but he would probably have more friends if he put his own money in and tried to make money that way and not by ripping off other people.",63.0,30.0,10.0,30.0,20.0,30.0,30,3.0,1.0,3.0,2.0,3.0,3.0,15.0,5,15.0,10.0,15.0,15,58.0,100.0,100.0,100.0,,100.0,,100.0,100.0,20.0,female,White,44.0,1.0,81.0,156.0,GA,13.34168755221387
130,A2AAY4VT9L71SY:3180JW2OT562APZEBQIKIGT58ZEJ5C,Nope!,5.0,100.0,1.0,1.0,"I found it difficult because sometimes he would return more than others, but normally the lower amounts led to no return, which was easier to predict. Everything else seemed straightforward. I was engaged the whole time.",I tried to gauge what percentage he normally returned. For lower amounts he seemed to return none.,"He seems greedy, and not trustworthy. In some cases he took money and returned none, which is very inconsiderate.",100.0,10.0,10.0,20.0,20.0,30.0,30,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,15,50.0,15.0,30.0,100.0,,100.0,,85.0,7.0,1.0,male,White,32.0,0.0,41.0,157.0,MO,11.135999721526037
131,A2AB7641B691PN:3DQQ64TANHFS9JHW24AD5CSU2ZYWPP,none,67.0,69.0,87.0,92.0,good fun,i used guessing strategy ,he is good competitor,67.0,2.0,5.0,2.0,2.0,3.0,2,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3,5.0,3.0,3.0,2,41.0,84.0,89.0,81.0,,60.0,,63.0,70.0,57.0,male,White,46.0,5.0,65.0,158.0,MO,38.33060660911538
132,A2ADEPVGNNXNPA:3M23Y66PO31RSWII33132NYSZ53S61,no,40.0,64.0,26.0,37.0,I was deeply engaged. Sometimes Wilson behaved unpredictably.,I observed that he mostly gives nothing back. So that is what I guessed most of the time.,He seems selfish and unconcerned with others.,72.0,10.0,0.0,10.0,0.0,10.0,0,1.0,0.0,1.0,0.0,1.0,0.0,5.0,0,5.0,0.0,5.0,0,43.0,41.0,40.0,61.0,,59.0,,65.0,55.0,40.0,male,White,33.0,0.0,62.0,159.0,GR,5.702334540053838
133,A2AU2E2E9A0I1:35USIKEBNSAUCJQDV7KH3TOMEX06NS,,50.0,50.0,50.0,50.0,I thought it was pretty hard to predict Wilson's behavior and it was quite frustrating to figure it out.,"I didn't really have a strategy, I just kind of randomly guessed.","I think Wilson was a likeable guy, however he often gave back more money than I would have.",1.0,10.0,0.0,20.0,0.0,30.0,10,1.0,0.0,2.0,0.0,3.0,0.0,5.0,0,10.0,0.0,15.0,0,50.0,50.0,50.0,87.0,,86.0,,86.0,1.0,50.0,female,White,33.0,10.0,100.0,160.0,GA,20.697925368978
134,A2B7SPYBPF7H8I:337RC3OW06WP392TK2CA2T0WQ80VL5,Great experiment! ,94.0,9.0,100.0,27.0,Very engaged.  This was a very fun and involved task!  I seemed to be inclined to be able to feel when he was going to be more generous.  I really liked the guessing of the multiplier of the bag.  I found it odd when he picked $0 to give back to a few people.,How much he received first and then how much of the multiplier he would return in addition to the amount they gave him.,He is very generous and nice.,1.0,12.0,10.0,10.0,5.0,10.0,20.00,2.0,0.0,2.0,0.0,2.0,1.0,6.0,5.00,10.0,6.0,6.0,7.00,60.0,62.0,1.0,92.0,,100.0,,93.0,24.0,7.0,female,White,50.0,3.0,75.0,161.0,GA,19.07372598162072
135,A2BK9RMC0NOIH8:378XPAWRUD73LKRPO4O1EQURK11IAJ,No.,1.0,100.0,1.0,1.0,"I like the drawings, it was hard to know what Wilson was going to do",I tried to remember what he did in the past.,That he is greedy.,100.0,40.0,20.0,40.0,40.0,40.0,40,4.0,2.0,4.0,4.0,4.0,4.0,20.0,10,20.0,20.0,20.0,20,13.0,1.0,1.0,100.0,1.0,100.0,6.0,100.0,1.0,1.0,,,,0.0,97.0,162.0,IA,13.581233175531422
136,A2C0335Q9VA8VJ:36PW28KO40QR5FP3SLYATBWZVFJEAC,none,69.0,59.0,67.0,69.0,i love this task.i was fully engaged.it was a fine experience,none.no strategy at all,he is somewhat good,30.0,20.0,15.0,40.0,30.0,60.0,40,2.0,2.0,4.0,4.0,6.0,6.0,10.0,8,20.0,15.0,30.0,20,76.0,84.0,62.0,70.0,,68.0,,79.0,93.0,64.0,female,Black,30.0,2.0,6.0,163.0,IA,17.353221015501717
137,A2C73Y1COWCA51:3TMSXRD2X7UPSRYUH2ZN4GAWYLWW1S,no issues,1.0,94.0,3.0,4.0,it was interesting enough,figure out a pattern,mostly chose to return zero,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,54.0,2.0,100.0,85.0,,99.0,,100.0,100.0,1.0,male,american_indian_Alaskan,26.0,0.0,83.0,164.0,GR,1.1751601225285437
138,A2CK0OXMPOR9LE:39RP059MEINU0DM8FXMP1ULEMPVMBK,No,21.0,43.0,21.0,14.0,Wasn't hard to predict. It was tedious but easy to follow. Nothing odd. Pretty engage.,After finding out his strategy I guessed between 1/4 and 1/2 of the dollar amount. I considered total dollar amount the most.,"Can be greedy, but at least helps people break even most of the time that I see anyway.",69.0,10.0,10.0,20.0,20.0,30.0,30,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,15,25.0,12.0,30.0,92.0,,93.0,,97.0,13.0,28.0,male,White,28.0,5.0,41.0,165.0,MO,13.905075187969926
139,A2CWJRAEFZ44HU:3ZAZR5XV02CD9PDX8M8EKGN5JK7ZCR,"it says it's gonna ask for geolocation at the beginning but it never did, or at least chrome didn't tell me that it did",1.0,83.0,1.0,2.0,"i think i predicted correctly maybe 10 of 56, so it was pretty hard for me. i was engaged and the task was straightforward","when the final investment was 10 or lower, always returned zero. if it was higher than 10 he generally a bit less than half back",he sucks and is not my comrade,74.0,10.0,10.0,20.0,20.0,30.0,30,1.0,1.0,2.0,2.0,3.0,3.0,5.0,5,10.0,10.0,15.0,15,14.0,1.0,58.0,99.0,,88.0,,79.0,1.0,1.0,male,american_indian_Alaskan,34.0,8.0,34.0,166.0,IA,15.4414972616727
